tors 0.00 : -230.2123597383
tors 3.00 : -230.2124263216
tors 6.00 : -230.2126244314
tors 9.00 : -230.2129492307
tors 12.00 : -230.2133929192
tors 15.00 : -230.2139450385
tors 18.00 : -230.2145928574
tors 21.00 : -230.2153218273
tors 24.00 : -230.2161160722
tors 27.00 : -230.2169588653
tors 30.00 : -230.2178331067
tors 33.00 : -230.2187218329
tors 36.00 : -230.2196087210
tors 39.00 : -230.2204784923
tors 42.00 : -230.2213172062
tors 45.00 : -230.2221125197
tors 48.00 : -230.2228539268
tors 51.00 : -230.2235329127
tors 54.00 : -230.2241429835
tors 57.00 : -230.2246795858
tors 60.00 : -230.2251398214
tors 63.00 : -230.2255218873
tors 66.00 : -230.2258244328
tors 69.00 : -230.2260459680
tors 72.00 : -230.2261845342
tors 75.00 : -230.2262385190
tors 78.00 : -230.2262085725
tors 81.00 : -230.2260990156
tors 84.00 : -230.2259177693
tors 87.00 : -230.2256754641
tors 90.00 : -230.2253845755
tors 93.00 : -230.2250587795
tors 96.00 : -230.2247124799
tors 99.00 : -230.2243603935
tors 102.00 : -230.2240170753
tors 105.00 : -230.2236963992
tors 108.00 : -230.2234110320
tors 111.00 : -230.2231719884
tors 114.00 : -230.2229882424
tors 117.00 : -230.2228664350
tors 120.00 : -230.2228106958
tors 123.00 : -230.2228225372
tors 126.00 : -230.2229008537
tors 129.00 : -230.2230420663
tors 132.00 : -230.2232404262
tors 135.00 : -230.2234884295
tors 138.00 : -230.2237772340
tors 141.00 : -230.2240970472
tors 144.00 : -230.2244375263
tors 147.00 : -230.2247881869
tors 150.00 : -230.2251388528
tors 153.00 : -230.2254800486
tors 156.00 : -230.2258033007
tors 159.00 : -230.2261013161
tors 162.00 : -230.2263680860
tors 165.00 : -230.2265989478
tors 168.00 : -230.2267905401
tors 171.00 : -230.2269407118
tors 174.00 : -230.2270483133
tors 177.00 : -230.2271129078
tors 180.00 : -230.2271344350
