tors 0.00 : -229.8266733156
tors 3.00 : -229.8267474789
tors 6.00 : -229.8269677756
tors 9.00 : -229.8273282903
tors 12.00 : -229.8278194680
tors 15.00 : -229.8284286225
tors 18.00 : -229.8291406298
tors 21.00 : -229.8299384443
tors 24.00 : -229.8308036930
tors 27.00 : -229.8317173900
tors 30.00 : -229.8326601561
tors 33.00 : -229.8336130611
tors 36.00 : -229.8345579363
tors 39.00 : -229.8354778675
tors 42.00 : -229.8363576002
tors 45.00 : -229.8371838956
tors 48.00 : -229.8379458125
tors 51.00 : -229.8386349178
tors 54.00 : -229.8392453208
tors 57.00 : -229.8397736531
tors 60.00 : -229.8402187304
tors 63.00 : -229.8405809173
tors 66.00 : -229.8408612450
tors 69.00 : -229.8410600178
tors 72.00 : -229.8411759354
tors 75.00 : -229.8412065991
tors 78.00 : -229.8411512813
tors 81.00 : -229.8410130721
tors 84.00 : -229.8407994308
tors 87.00 : -229.8405211651
tors 90.00 : -229.8401912326
tors 93.00 : -229.8398242783
tors 96.00 : -229.8394358106
tors 99.00 : -229.8390418464
tors 102.00 : -229.8386583364
tors 105.00 : -229.8383006221
tors 108.00 : -229.8379828599
tors 111.00 : -229.8377174664
tors 114.00 : -229.8375146340
tors 117.00 : -229.8373819343
tors 120.00 : -229.8373240835
tors 123.00 : -229.8373428292
tors 126.00 : -229.8374369665
tors 129.00 : -229.8376025576
tors 132.00 : -229.8378331177
tors 135.00 : -229.8381200917
tors 138.00 : -229.8384532219
tors 141.00 : -229.8388210718
tors 144.00 : -229.8392115251
tors 147.00 : -229.8396122795
tors 150.00 : -229.8400113605
tors 153.00 : -229.8403975534
tors 156.00 : -229.8407607947
tors 159.00 : -229.8410925222
tors 162.00 : -229.8413859231
tors 165.00 : -229.8416361240
tors 168.00 : -229.8418402493
tors 171.00 : -229.8419973058
tors 174.00 : -229.8421078188
tors 177.00 : -229.8421731875
tors 180.00 : -229.8421947841
