tors 0.00 : tors 10.00 : -230.2130843821
tors 20.00 : -230.2150707785
tors 30.00 : -230.2178331067
tors 40.00 : -230.2207621592
tors 50.00 : -230.2233139620
tors 60.00 : -230.2251398214
tors 70.00 : -230.2261014777
tors 80.00 : -230.2261439561
tors 90.00 : -230.2253845755
tors 100.00 : -230.2242442756
tors 110.00 : -230.2232459230
tors 120.00 : -230.2228106958
tors 130.00 : -230.2231021753
tors 140.00 : -230.2239876288
tors 150.00 : -230.2251388528
tors 160.00 : -230.2261939690
tors 170.00 : -230.2268953455
tors 180.00 : -230.2271344350
